case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_046,5.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9885934195472038,0.977444124502948,4022,4203,360447,0.0014770980977623083,0.0028837259564833406,1079,360398
dataset8_046,10.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9878604786519034,0.9760121582211756,4557,4203,360982,0.0007441572024619036,0.0014517596747108952,544,360398
dataset8_046,15.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9878508959739031,0.975993450020811,4564,4203,360989,0.0007345745244615731,0.0014330514743462475,537,360398
dataset8_046,20.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9878508959739031,0.975993450020811,4564,4203,360989,0.0007345745244615731,0.0014330514743462475,537,360398
dataset8_046,30.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9878508959739031,0.975993450020811,4564,4203,360989,0.0007345745244615731,0.0014330514743462475,537,360398
dataset8_046,40.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.9878508959739031,0.975993450020811,4564,4203,360989,0.0007345745244615731,0.0014330514743462475,537,360398
dataset8_088,5.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_088,10.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_088,15.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_088,20.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_088,30.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_088,40.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.0006819673283776639,0.0013271014817436422,459,331290
dataset8_090,5.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
dataset8_090,10.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
dataset8_090,15.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
dataset8_090,20.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.0,0.0,0,247064
